Category1,Current_m1,Current_m2,Current_m3,Current_m4,Current_m5,Current_m6,Current_m7,Current_m8,Current_m9,Current_m10,Current_m11,Current_m12,ShiftedWinter_m1,ShiftedWinter_m2,ShiftedWinter_m3,ShiftedWinter_m4,ShiftedWinter_m5,ShiftedWinter_m6,ShiftedWinter_m7,ShiftedWinter_m8,ShiftedWinter_m9,ShiftedWinter_m10,ShiftedWinter_m11,ShiftedWinter_m12,ShiftedSummer_m1,ShiftedSummer_m2,ShiftedSummer_m3,ShiftedSummer_m4,ShiftedSummer_m5,ShiftedSummer_m6,ShiftedSummer_m7,ShiftedSummer_m8,ShiftedSummer_m9,ShiftedSummer_m10,ShiftedSummer_m11,ShiftedSummer_m12
MS1_bs_1085_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.144,1.144,1.144,0.7,0.7,0.7,0.7,0.7,0.7,1.144,1.144,1.144,0.856,0.856,0.856,1.3,1.3,1.3,1.3,1.3,1.3,0.856,0.856,0.856
MS1_bs_1096_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.18,1.18,1.18,0.7,0.7,0.7,0.7,0.7,0.7,1.18,1.18,1.18,0.82,0.82,0.82,1.3,1.3,1.3,1.3,1.3,1.3,0.82,0.82,0.82
MS1_bs_1120_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.284,1.284,1.284,0.7,0.7,0.7,0.7,0.7,0.7,1.284,1.284,1.284,0.716,0.716,0.716,1.3,1.3,1.3,1.3,1.3,1.3,0.716,0.716,0.716
MS1_bs_1129_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.563,1.563,1.563,0.7,0.7,0.7,0.7,0.7,0.7,1.563,1.563,1.563,0.437,0.437,0.437,1.3,1.3,1.3,1.3,1.3,1.3,0.437,0.437,0.437
MS1_bs_1138_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.36,1.36,1.36,0.7,0.7,0.7,0.7,0.7,0.7,1.36,1.36,1.36,0.64,0.64,0.64,1.3,1.3,1.3,1.3,1.3,1.3,0.64,0.64,0.64
MS1_bs_1142_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.164,1.164,1.164,0.7,0.7,0.7,0.7,0.7,0.7,1.164,1.164,1.164,0.836,0.836,0.836,1.3,1.3,1.3,1.3,1.3,1.3,0.836,0.836,0.836
MS1_bs_1157_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.607,1.607,1.607,0.7,0.7,0.7,0.7,0.7,0.7,1.607,1.607,1.607,0.393,0.393,0.393,1.3,1.3,1.3,1.3,1.3,1.3,0.393,0.393,0.393
MS1_bs_1169_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.431,1.431,1.431,0.7,0.7,0.7,0.7,0.7,0.7,1.431,1.431,1.431,0.569,0.569,0.569,1.3,1.3,1.3,1.3,1.3,1.3,0.569,0.569,0.569
MS1_bs_1192_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.254,1.254,1.254,0.7,0.7,0.7,0.7,0.7,0.7,1.254,1.254,1.254,0.746,0.746,0.746,1.3,1.3,1.3,1.3,1.3,1.3,0.746,0.746,0.746
MS1_bs_1197_05257,1,1,1,1,1,1,1,1,1,1,1,1,1.221,1.221,1.221,0.7,0.7,0.7,0.7,0.7,0.7,1.221,1.221,1.221,0.779,0.779,0.779,1.3,1.3,1.3,1.3,1.3,1.3,0.779,0.779,0.779
MS1_bs_1205_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.232,1.232,1.232,0.7,0.7,0.7,0.7,0.7,0.7,1.232,1.232,1.232,0.768,0.768,0.768,1.3,1.3,1.3,1.3,1.3,1.3,0.768,0.768,0.768
MS1_bs_1215_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.276,1.276,1.276,0.7,0.7,0.7,0.7,0.7,0.7,1.276,1.276,1.276,0.724,0.724,0.724,1.3,1.3,1.3,1.3,1.3,1.3,0.724,0.724,0.724
MS1_bs_1262_05454,1,1,1,1,1,1,1,1,1,1,1,1,1.499,1.499,1.499,0.7,0.7,0.7,0.7,0.7,0.7,1.499,1.499,1.499,0.501,0.501,0.501,1.3,1.3,1.3,1.3,1.3,1.3,0.501,0.501,0.501
MS1_bs_1273_05455,1,1,1,1,1,1,1,1,1,1,1,1,1.211,1.211,1.211,0.7,0.7,0.7,0.7,0.7,0.7,1.211,1.211,1.211,0.789,0.789,0.789,1.3,1.3,1.3,1.3,1.3,1.3,0.789,0.789,0.789
