,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,SchenkJackson2003_PCdry_forbs
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,
,,56,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006427748,0.004859795,0.00437372,0.006427748
,,57,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006282446,0.004687182,0.004203145,0.006282446
,,58,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006140429,0.0045207,0.004039222,0.006140429
,,59,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.006001622,0.004360131,0.003881692,0.006001622
,,60,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.005865954,0.004205265,0.003730306,0.005865954
,,61,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005733351,0.0040559,0.003584824,0.005733351
,,62,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005603747,0.00391184,0.003445016,0.005603747
,,63,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005477072,0.003772897,0.003310661,0.005477072
,,64,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005353261,0.003638889,0.003181545,0.005353261
,,65,0.002666061,0.00504449,0.007466667,0.003333333,0.00320082,0.003258413,0.005,0.005,0.001238582,0.005,0.005232249,0.003509641,0.003057465,0.005232249
