,Soil layer,Soil depth cm,Pinuscontorta_10yrsSeedling,BigSagebrushEcosystem_cm,Shortgrass_JBB_cm,Shortgrass3,ShortgrassSteppe_MeanOf_Liang1989Singh1998_cm,ShortgrassSteppe_MeanOf_Liang1989Singh1998_WeightedByShrub_cm,FILL,C3_John,C4_John,Annuals_John,SchenkJackson2003_PCdry_shrubs,SchenkJackson2003_PCdry_grasses,Jacksonetal1996_crops,Shrub_MaxRoot010,C3_MaxRoot010,C4_MaxRoot010,Shrub_MaxRoot025,C3_MaxRoot025,C4_MaxRoot025,Shrub_MaxRoot050,C3_MaxRoot050,C4_MaxRoot050,Shrub_MaxRoot100,C3_MaxRoot100,C4_MaxRoot100,Shrub_MaxRoot200,C3_MaxRoot200,C4_MaxRoot200
LayerORDepthCM,Layer,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM,DepthCM
Source,,,"Nadeau LB, Pluth DJ (1997) Spatial distribution of lodgepole pine and white spruce seedling roots 10 years after deep tillage of a Gray Luvisol. Canadian Journal of Forest Research-Revue Canadienne De Recherche Forestiere, 27, 1606-1613.",,"Bradford JB, Lauenroth WK (2006) Controls over invasion of Bromus tectorum: the importance of climate, soil, disturbance and seed availability. Journal of Vegetation Science, 17, 693-704.",Dave Smith Thesis (2003),,,,,,,,,,MaxRoot010,,,MaxRoot025,,,MaxRoot050,,,MaxRoot100,,,MaxRoot200,,
,,40,0.006020819,0.010957611,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0125,0.009190117,0.0125,0.00926701,0.008667947,0.008265645,0,0,0,0,0,0,0.008615243,0.007901172,0.002229152,0.010633963,0.010439706,0.007674373,0.008357792,0.010439706,0.007674373
,,41,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.009057525,0.008360074,0.007943284,0,0,0,0,0,0,0.00676708,0.006094066,0.001329619,0.009424581,0.009168453,0.005927024,0.007868193,0.009168453,0.005927024
,,42,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.008852777,0.008063135,0.007633496,0,0,0,0,0,0,0.00676708,0.006094066,0.001329619,0.009424581,0.009168453,0.005927024,0.007868193,0.009168453,0.005927024
,,43,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.008652656,0.007776744,0.00733579,0,0,0,0,0,0,0.00676708,0.006094066,0.001329619,0.009424581,0.009168453,0.005927024,0.007868193,0.009168453,0.005927024
,,44,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.00845706,0.007500525,0.007049694,0,0,0,0,0,0,0.00676708,0.006094066,0.001329619,0.009424581,0.009168453,0.005927024,0.007868193,0.009168453,0.005927024
,,45,0.006020819,0.008919208,0.0124,0.011333333,0.005562073,0.005794424,0.005,0.0075,0.002980377,0.0075,0.008265885,0.007234117,0.006774756,0,0,0,0,0,0,0.00676708,0.006094066,0.001329619,0.009424581,0.009168453,0.005927024,0.007868193,0.009168453,0.005927024
,,46,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.008079032,0.006977171,0.006510541,0,0,0,0,0,0,0.005117769,0.00495089,-3.46622E-05,0.008352739,0.008052002,0.004577522,0.007407275,0.008052002,0.004577522
,,47,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007896402,0.006729352,0.00625663,0,0,0,0,0,0,0.005117769,0.00495089,-3.46622E-05,0.008352739,0.008052002,0.004577522,0.007407275,0.008052002,0.004577522
,,48,0.006020819,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007717901,0.006490335,0.006012621,0,0,0,0,0,0,0.005117769,0.00495089,-3.46622E-05,0.008352739,0.008052002,0.004577522,0.007407275,0.008052002,0.004577522
,,49,0.002666061,0.008919208,0.0076,0.008666667,0.00427272,0.004451149,0.005,0.0075,0.002980377,0.0075,0.007543435,0.006259807,0.005778129,0,0,0,0,0,0,0.005117769,0.00495089,-3.46622E-05,0.008352739,0.008052002,0.004577522,0.007407275,0.008052002,0.004577522
